country,meat_type,meat_produced
El Salvador,"Meat, cattle",19860
El Salvador,"Meat, chicken",140560
El Salvador,"Meat, goat",84
El Salvador,"Meat, pig",8392
El Salvador,"Meat, sheep",35
Equatorial Guinea,"Meat, cattle",47
Equatorial Guinea,"Meat, chicken",253
Equatorial Guinea,"Meat, goat",48
Equatorial Guinea,"Meat, pig",164
Equatorial Guinea,"Meat, sheep",103
Eritrea,"Meat, camel",2932
Eritrea,"Meat, cattle",22288
Eritrea,"Meat, chicken",1422
Eritrea,"Meat, goat",6083
Eritrea,"Meat, sheep",6689
Estonia,"Meat, cattle",11900
Estonia,"Meat, chicken",20400
Estonia,"Meat, goat",15
Estonia,"Meat, nes",38
Estonia,"Meat, pig",41600
Estonia,"Meat, rabbit",11
Estonia,"Meat, sheep",600
Eswatini,"Meat, cattle",16188
Eswatini,"Meat, chicken",5992
Eswatini,"Meat, goat",1633
Eswatini,"Meat, pig",1357
Eswatini,"Meat, sheep",607
Ethiopia,"Meat, camel",29000
Ethiopia,"Meat, cattle",393172
Ethiopia,"Meat, chicken",13676
Ethiopia,"Meat, goat",24768
Ethiopia,"Meat, pig",2028
Ethiopia,"Meat, sheep",47181
Falkland Islands (Malvinas),"Meat, cattle",126
Falkland Islands (Malvinas),"Meat, chicken",9
Falkland Islands (Malvinas),"Meat, sheep",741
Faroe Islands,"Meat, cattle",93
Faroe Islands,"Meat, sheep",543
Fiji,"Meat, cattle",4207
Fiji,"Meat, chicken",22897
Fiji,"Meat, duck",350
Fiji,"Meat, goat",328
Fiji,"Meat, pig",4105
Fiji,"Meat, sheep",70
Fiji,"Meat, turkey",104
Finland,"Meat, cattle",86080
Finland,"Meat, chicken",120780
Finland,"Meat, horse",350
Finland,"Meat, nes",3155
Finland,"Meat, pig",181580
Finland,"Meat, sheep",1350
Finland,"Meat, turkey",8009
France,"Meat, bird nes",745
France,"Meat, cattle",1423404
France,"Meat, chicken",1102774
France,"Meat, duck",235482
France,"Meat, goat",11498
France,"Meat, goose and guinea fowl",2776
France,"Meat, horse",3811
France,"Meat, nes",74276
France,"Meat, pig",2136276
France,"Meat, rabbit",44019
France,"Meat, sheep",104970
France,"Meat, turkey",404032
French Guiana,"Meat, cattle",544
French Guiana,"Meat, chicken",323
French Guiana,"Meat, duck",60
French Guiana,"Meat, goat",4
French Guiana,"Meat, pig",446
French Guiana,"Meat, sheep",8
French Polynesia,"Meat, cattle",127
French Polynesia,"Meat, chicken",633
French Polynesia,"Meat, duck",33
French Polynesia,"Meat, goat",73
French Polynesia,"Meat, pig",1018
French Polynesia,"Meat, sheep",3
Gabon,"Meat, cattle",1054
Gabon,"Meat, chicken",3901
Gabon,"Meat, goat",327
Gabon,"Meat, pig",3509
Gabon,"Meat, rabbit",2045
Gabon,"Meat, sheep",800
Gambia,"Meat, cattle",4099
Gambia,"Meat, chicken",1513
Gambia,"Meat, goat",914
Gambia,"Meat, pig",500
Gambia,"Meat, sheep",319
Georgia,"Meat, cattle",21400
Georgia,"Meat, chicken",21800
Georgia,"Meat, goat",21
Georgia,"Meat, horse",100
Georgia,"Meat, pig",15500
Georgia,"Meat, rabbit",275
Georgia,"Meat, sheep",6700
Germany,"Meat, cattle",1137008
Germany,"Meat, chicken",1009565
Germany,"Meat, duck",35998
Germany,"Meat, goat",418
Germany,"Meat, goose and guinea fowl",2920
Germany,"Meat, horse",1964
Germany,"Meat, pig",5505572
Germany,"Meat, rabbit",42351
Germany,"Meat, sheep",31152
Germany,"Meat, turkey",465598
Ghana,"Meat, cattle",23786
Ghana,"Meat, chicken",59653
Ghana,"Meat, goat",25782
Ghana,"Meat, nes",41459
Ghana,"Meat, pig",24942
Ghana,"Meat, sheep",20733
Greece,"Meat, buffalo",230
Greece,"Meat, cattle",44000
Greece,"Meat, chicken",150695
Greece,"Meat, duck",66
Greece,"Meat, goat",39466
Greece,"Meat, goose and guinea fowl",169
Greece,"Meat, horse",3271
Greece,"Meat, nes",817
Greece,"Meat, pig",81200
Greece,"Meat, rabbit",6004
Greece,"Meat, sheep",77468
Greece,"Meat, turkey",1722
Greenland,"Meat, nes",198
Greenland,"Meat, sheep",310
Grenada,"Meat, cattle",140
Grenada,"Meat, chicken",531
Grenada,"Meat, goat",29
Grenada,"Meat, nes",119
Grenada,"Meat, pig",243
Grenada,"Meat, sheep",105
Guadeloupe,"Meat, cattle",2767
Guadeloupe,"Meat, chicken",1424
Guadeloupe,"Meat, duck",7
Guadeloupe,"Meat, goat",77
Guadeloupe,"Meat, horse",12
Guadeloupe,"Meat, pig",1816
Guadeloupe,"Meat, rabbit",63
Guadeloupe,"Meat, sheep",103
Guadeloupe,"Meat, turkey",103
Guam,"Meat, buffalo",1
Guam,"Meat, cattle",9
Guam,"Meat, chicken",176
Guam,"Meat, goat",5
Guam,"Meat, pig",178
Guatemala,"Meat, cattle",174200
Guatemala,"Meat, chicken",234986
Guatemala,"Meat, goat",236
Guatemala,"Meat, horse",2481
Guatemala,"Meat, pig",62045
Guatemala,"Meat, sheep",2028
Guinea,"Meat, cattle",82000
Guinea,"Meat, chicken",12955
Guinea,"Meat, goat",14000
Guinea,"Meat, pig",1810
Guinea,"Meat, sheep",8720
Guinea-Bissau,"Meat, cattle",7037
Guinea-Bissau,"Meat, chicken",2883
Guinea-Bissau,"Meat, goat",1102
Guinea-Bissau,"Meat, pig",17513
Guinea-Bissau,"Meat, sheep",1311
Guyana,"Meat, cattle",1979
Guyana,"Meat, chicken",30668
Guyana,"Meat, goat",275
Guyana,"Meat, pig",470
Guyana,"Meat, sheep",556
Haiti,"Meat, cattle",47145
Haiti,"Meat, chicken",8461
Haiti,"Meat, duck",128
Haiti,"Meat, goat",5709
Haiti,"Meat, goose and guinea fowl",39
Haiti,"Meat, horse",5234
Haiti,"Meat, nes",4950
Haiti,"Meat, pig",33042
Haiti,"Meat, sheep",920
Haiti,"Meat, turkey",262
Honduras,"Meat, cattle",65342
Honduras,"Meat, chicken",192593
Honduras,"Meat, goat",158
Honduras,"Meat, horse",523
Honduras,"Meat, pig",10824
Honduras,"Meat, sheep",98
Hungary,"Meat, cattle",28162
Hungary,"Meat, chicken",341107
Hungary,"Meat, duck",52796
Hungary,"Meat, goat",231
Hungary,"Meat, goose and guinea fowl",20943
Hungary,"Meat, horse",272
Hungary,"Meat, nes",7508
Hungary,"Meat, pig",469829
Hungary,"Meat, rabbit",5246
Hungary,"Meat, sheep",1564
Hungary,"Meat, turkey",78252
Iceland,"Meat, cattle",4614
Iceland,"Meat, chicken",9697
Iceland,"Meat, horse",1061
Iceland,"Meat, nes",3146
Iceland,"Meat, pig",6265
Iceland,"Meat, sheep",10619
India,"Meat, buffalo",1635153
India,"Meat, cattle",888508
India,"Meat, chicken",3519959
India,"Meat, duck",24347
India,"Meat, goat",499673
India,"Meat, nes",189579
India,"Meat, pig",305467
India,"Meat, sheep",234518
Indonesia,"Meat, buffalo",32260
Indonesia,"Meat, cattle",531757
Indonesia,"Meat, chicken",2258239
Indonesia,"Meat, duck",43156
Indonesia,"Meat, goat",70024
Indonesia,"Meat, horse",2512
Indonesia,"Meat, pig",344247
Indonesia,"Meat, sheep",54818
Iran (Islamic Republic of),"Meat, buffalo",6800
Iran (Islamic Republic of),"Meat, camel",10000
Iran (Islamic Republic of),"Meat, cattle",477887
Iran (Islamic Republic of),"Meat, chicken",2161678
Iran (Islamic Republic of),"Meat, duck",3183
Iran (Islamic Republic of),"Meat, goat",69198
Iran (Islamic Republic of),"Meat, goose and guinea fowl",2625
Iran (Islamic Republic of),"Meat, pig",
Iran (Islamic Republic of),"Meat, sheep",291200
Iran (Islamic Republic of),"Meat, turkey",6149
Iraq,"Meat, buffalo",3621
Iraq,"Meat, camel",2531
Iraq,"Meat, cattle",20628
Iraq,"Meat, chicken",96000
Iraq,"Meat, goat",10017
Iraq,"Meat, sheep",46058
Ireland,"Meat, cattle",617000
Ireland,"Meat, chicken",80628
Ireland,"Meat, duck",3377
Ireland,"Meat, goose and guinea fowl",1075
Ireland,"Meat, horse",3236
Ireland,"Meat, nes",2873
Ireland,"Meat, pig",294200
Ireland,"Meat, sheep",67100
Ireland,"Meat, turkey",25395
Israel,"Meat, camel",86
Israel,"Meat, cattle",140655
Israel,"Meat, chicken",538066
Israel,"Meat, duck",2248
Israel,"Meat, goat",4118
Israel,"Meat, goose and guinea fowl",3293
Israel,"Meat, pig",14797
Israel,"Meat, sheep",8591
Israel,"Meat, turkey",85351
Italy,"Meat, bird nes",
Italy,"Meat, buffalo",16591
Italy,"Meat, cattle",739830
Italy,"Meat, chicken",1006677
Italy,"Meat, goat",1774
Italy,"Meat, goose and guinea fowl",68
Italy,"Meat, horse",7792
Italy,"Meat, nes",30048
Italy,"Meat, pig",1466949
Italy,"Meat, rabbit",46533
Italy,"Meat, sheep",33251
Italy,"Meat, turkey",308625
Jamaica,"Meat, cattle",5953
Jamaica,"Meat, chicken",138697
Jamaica,"Meat, goat",1115
Jamaica,"Meat, horse",42
Jamaica,"Meat, pig",8304
Jamaica,"Meat, sheep",16
Japan,"Meat, cattle",469157
Japan,"Meat, chicken",2214899
Japan,"Meat, goat",35
Japan,"Meat, horse",3901
Japan,"Meat, nes",2874
Japan,"Meat, pig",1272257
Japan,"Meat, sheep",187
Japan,"Meat, turkey",11
Jordan,"Meat, camel",760
Jordan,"Meat, cattle",28420
Jordan,"Meat, chicken",209696
Jordan,"Meat, duck",106
Jordan,"Meat, goat",5961
Jordan,"Meat, goose and guinea fowl",3
Jordan,"Meat, rabbit",13
Jordan,"Meat, sheep",16246
Jordan,"Meat, turkey",331
Kazakhstan,"Meat, camel",6617
Kazakhstan,"Meat, cattle",450432
Kazakhstan,"Meat, chicken",170729
Kazakhstan,"Meat, goat",20040
Kazakhstan,"Meat, horse",117459
Kazakhstan,"Meat, nes",20
Kazakhstan,"Meat, pig",91912
Kazakhstan,"Meat, rabbit",81
Kazakhstan,"Meat, sheep",151364
Kenya,"Meat, camel",72784
Kenya,"Meat, cattle",588693
Kenya,"Meat, chicken",35090
Kenya,"Meat, goat",63663
Kenya,"Meat, pig",12953
Kenya,"Meat, rabbit",2799
Kenya,"Meat, sheep",33431
Kiribati,"Meat, chicken",925
Kiribati,"Meat, pig",972
Kuwait,"Meat, camel",763
Kuwait,"Meat, cattle",2151
Kuwait,"Meat, chicken",55755
Kuwait,"Meat, goat",1322
Kuwait,"Meat, sheep",50370
Kyrgyzstan,"Meat, cattle",102455
Kyrgyzstan,"Meat, chicken",7251
Kyrgyzstan,"Meat, goat",8396
Kyrgyzstan,"Meat, horse",24739
Kyrgyzstan,"Meat, pig",17535
Kyrgyzstan,"Meat, rabbit",319
Kyrgyzstan,"Meat, sheep",64122
Lao People's Democratic Republic,"Meat, buffalo",20992
Lao People's Democratic Republic,"Meat, cattle",33765
Lao People's Democratic Republic,"Meat, chicken",28636
Lao People's Democratic Republic,"Meat, duck",4462
Lao People's Democratic Republic,"Meat, goat",2306
Lao People's Democratic Republic,"Meat, goose and guinea fowl",275
Lao People's Democratic Republic,"Meat, pig",86283
Latvia,"Meat, cattle",18450
Latvia,"Meat, chicken",33393
Latvia,"Meat, horse",79
Latvia,"Meat, nes",353
Latvia,"Meat, pig",38073
Latvia,"Meat, rabbit",45
Latvia,"Meat, sheep",870
Lebanon,"Meat, cattle",52369
Lebanon,"Meat, chicken",64349
Lebanon,"Meat, goat",3579
Lebanon,"Meat, pig",632
Lebanon,"Meat, sheep",7094
Lesotho,"Meat, cattle",2029
Lesotho,"Meat, chicken",1920
Lesotho,"Meat, goat",309
Lesotho,"Meat, pig",666
Lesotho,"Meat, sheep",483
Liberia,"Meat, cattle",1142
Liberia,"Meat, chicken",14131
Liberia,"Meat, duck",375
Liberia,"Meat, goat",1204
Liberia,"Meat, pig",12210
Liberia,"Meat, sheep",947
Libya,"Meat, camel",5905
Libya,"Meat, cattle",3963
Libya,"Meat, chicken",128364
Libya,"Meat, goat",12472
Libya,"Meat, sheep",30923
Lithuania,"Meat, cattle",41917
Lithuania,"Meat, chicken",110816
Lithuania,"Meat, duck",94
Lithuania,"Meat, goat",78
Lithuania,"Meat, goose and guinea fowl",79
Lithuania,"Meat, horse",222
Lithuania,"Meat, nes",319
Lithuania,"Meat, pig",71476
Lithuania,"Meat, rabbit",172
Lithuania,"Meat, sheep",1258
Lithuania,"Meat, turkey",6860
Luxembourg,"Meat, cattle",9651
Luxembourg,"Meat, chicken",270
Luxembourg,"Meat, goat",3
